fullName,city,state,location,lon,lat,type,loctype,address,north,south,east,west
Events Center (Binghamton),Binghamton,NY,"Events Center (Binghamton), Binghamton, NY",-75.97195719999999,42.0934421,establishment,rooftop,"4400 vestal pkwy e, vestal, ny 13850, usa",42.0944292802915,42.0917313197085,-75.9706521197085,-75.97335008029151
Dave Aaron Arena,Clarksville,TN,"Dave Aaron Arena, Clarksville, TN",-87.3594528,36.5297706,locality,approximate,"clarksville, tn, usa",36.641761,36.4788489,-87.2107339,-87.482511
G.B. Hodge Center,Spartanburg,SC,"G.B. Hodge Center, Spartanburg, SC",-81.9688594,34.9957985,establishment,rooftop,"365 hodge dr, spartanburg, sc 29303, usa",34.9968204802915,34.9941225197085,-81.967741719708485,-81.97043968029149
Williams Arena at Minges Coliseum,Greenville,NC,"Williams Arena at Minges Coliseum, Greenville, NC",-77.3669814,35.5974775,establishment,rooftop,"200 ficklen dr, greenville, nc 27858, usa",35.5990553302915,35.5963573697085,-77.36628786970849,-77.36898583029149
Rose Hill Gymnasium,Bronx,NY,"Rose Hill Gymnasium, Bronx, NY",-73.88376509999999,40.862211,establishment,rooftop,"465 e fordham rd, bronx, ny 10458, usa",40.8633943802915,40.8606964197085,-73.88275611970849,-73.8854540802915
Physical Education Complex,Baltimore,MD,"Physical Education Complex, Baltimore, MD",-76.65713509999999,39.3153798,establishment,geometric_center,"baltimore, md 21216, usa",39.3158143802915,39.3131164197085,-76.6563365,-76.6593681
John J. Lee Amphitheater,New Haven,CT,"John J. Lee Amphitheater, New Haven, CT",-72.9305569,41.3139597,premise,rooftop,"payne whitney gymnasium, 70 tower pkwy, new haven, ct 06511, usa",41.31545413029149,41.31275616970849,-72.9294214697085,-72.93211943029151
Pritchard Gymnasium,Stony Brook,NY,"Pritchard Gymnasium, Stony Brook, NY",-73.1253423,40.9171513,establishment,rooftop,"sports complex, stony brook, ny 11790, usa",40.9184056802915,40.9157077197085,-73.12403136970849,-73.12672933029151
Athletics Center O'rena,Rochester,MI,"Athletics Center O'rena, Rochester, MI",-83.21313549999999,42.6740455,premise,rooftop,"recreation and athletics center, rochester, mi 48309, usa",42.6752588302915,42.6725608697085,-83.21179596970849,-83.2144939302915
VyStar Veterans Memorial Arena,Jacksonville,FL,"VyStar Veterans Memorial Arena, Jacksonville, FL",-81.6450447,30.3258872,establishment,rooftop,"300 a philip randolph blvd, jacksonville, fl 32202, usa",30.3274429802915,30.3247450197085,-81.64329281970849,-81.6459907802915
Puerto Vallarta International Convention Center,Puerto Vallarta,Mexico,"Puerto Vallarta International Convention Center, Puerto Vallarta, Mexico",-105.2253316,20.653407,locality,approximate,"puerto vallarta, jalisco, mexico",20.7001142,20.5816292,-105.1781795,-105.270869
The Super Pit,Denton,TX,"The Super Pit, Denton, TX",-97.15410589999999,33.20863,establishment,rooftop,"601, coliseum, n texas blvd, denton, tx 76201, usa",33.2103372302915,33.2076392697085,-97.15286696970848,-97.1555649302915
